campaign,arm,pane,sample,at,readiness,outcome,opened_ms,visible_bubbles,source_epoch,expected_epoch,mount_ms,selection_and_settle_ms,idle_wait_ms,uptime_before,uptime_after,concurrent_runner_before,concurrent_runner_after
improvements,runtime,cf-person-inbox,factor-2,2026-09-15T00:51:33.135Z,visible source counts,completed,262,50,A,,5888.1,20.4,,"17:51  up  3:22, 14 users, load averages: 43.93 26.86 27.50","17:51  up  3:22, 14 users, load averages: 45.54 27.47 27.72","PID ELAPSED  %CPU
91059   09:59 137.1","PID ELAPSED  %CPU
91059   10:05 167.6"
improvements,runtime,header,factor-2,2026-09-15T00:51:39.981Z,visible source counts,completed,1911.5,50,A,,9951.1,23.4,,"17:51  up  3:22, 14 users, load averages: 44.61 27.58 27.75","17:51  up  3:23, 14 users, load averages: 45.75 28.38 28.04","PID ELAPSED  %CPU
91059   10:05 165.6","PID ELAPSED  %CPU
91059   10:18  66.7"
improvements,runtime,cf-person-inbox-lift,factor-2,2026-09-15T00:51:52.583Z,visible source counts,completed,3653.2,50,A,,9408.1,18.1,,"17:51  up  3:23, 14 users, load averages: 45.75 28.38 28.04","17:52  up  3:23, 14 users, load averages: 42.92 28.61 28.12","PID ELAPSED  %CPU
91059   10:18  59.0","PID ELAPSED  %CPU
91059   10:31 104.3"
improvements,base,cf-person-inbox,factor-2,2026-09-15T00:52:06.370Z,visible source counts,completed,169,50,A,,5965.6,18.7,,"17:52  up  3:23, 14 users, load averages: 42.92 28.61 28.12","17:52  up  3:23, 14 users, load averages: 40.77 28.40 28.05","PID ELAPSED  %CPU
91059   10:32 107.4","PID ELAPSED  %CPU
91059   10:39 100.8"
improvements,base,header,factor-2,2026-09-15T00:52:13.284Z,visible source counts,completed,2111.8,50,A,,9378.1,34.4,,"17:52  up  3:23, 14 users, load averages: 40.77 28.40 28.05","17:52  up  3:23, 14 users, load averages: 34.67 27.65 27.79","PID ELAPSED  %CPU
91059   10:39  94.8","PID ELAPSED  %CPU
91059   10:51 113.4"
improvements,base,cf-person-inbox-lift,factor-2,2026-09-15T00:52:25.602Z,visible source counts,completed,3657.7,50,A,,8953.3,35.3,,"17:52  up  3:23, 14 users, load averages: 34.67 27.65 27.79","17:52  up  3:23, 14 users, load averages: 35.62 28.10 27.95","PID ELAPSED  %CPU
91059   10:51 169.7","PID ELAPSED  %CPU
91059   11:04 139.5"
improvements,base,header,factor-3,2026-09-15T00:52:39.067Z,visible source counts,completed,2182.4,50,A,,9917.3,24.8,,"17:52  up  3:23, 14 users, load averages: 35.62 28.10 27.95","17:52  up  3:24, 14 users, load averages: 30.82 27.41 27.70","PID ELAPSED  %CPU
91059   11:05 117.5","PID ELAPSED  %CPU
91059   11:17 111.5"
improvements,base,cf-person-inbox-lift,factor-3,2026-09-15T00:52:51.869Z,visible source counts,completed,5388.6,50,A,,9403.2,35.5,,"17:52  up  3:24, 14 users, load averages: 30.82 27.41 27.70","17:53  up  3:24, 14 users, load averages: 29.33 27.27 27.65","PID ELAPSED  %CPU
91059   11:17 114.5","PID ELAPSED  %CPU
91059   11:33 129.2"
improvements,base,cf-person-inbox,factor-3,2026-09-15T00:53:07.548Z,visible source counts,completed,145.9,50,A,,5901.0,18.9,,"17:53  up  3:24, 14 users, load averages: 29.33 27.27 27.65","17:53  up  3:24, 14 users, load averages: 28.66 27.16 27.61","PID ELAPSED  %CPU
91059   11:33 140.0","PID ELAPSED  %CPU
91059   11:40 111.1"
improvements,runtime,header,factor-3,2026-09-15T00:53:14.434Z,visible source counts,completed,1754.5,50,A,,11446.4,23.2,,"17:53  up  3:24, 14 users, load averages: 28.66 27.16 27.61","17:53  up  3:24, 14 users, load averages: 26.00 26.66 27.42","PID ELAPSED  %CPU
91059   11:40 113.6","PID ELAPSED  %CPU
91059   11:54 130.9"
improvements,runtime,cf-person-inbox-lift,factor-3,2026-09-15T00:53:28.464Z,visible source counts,completed,2537.8,50,A,,7884.4,19.0,,"17:53  up  3:24, 14 users, load averages: 26.00 26.66 27.42","17:53  up  3:24, 14 users, load averages: 27.08 26.84 27.48","PID ELAPSED  %CPU
91059   11:54 119.6","PID ELAPSED  %CPU
91059   12:05  95.7"
improvements,runtime,cf-person-inbox,factor-3,2026-09-15T00:53:39.605Z,visible source counts,completed,198.2,50,A,,4858.6,23.3,,"17:53  up  3:24, 14 users, load averages: 27.08 26.84 27.48","17:53  up  3:25, 14 users, load averages: 26.24 26.67 27.40","PID ELAPSED  %CPU
91059   12:05 100.3","PID ELAPSED  %CPU
91059   12:11 125.6"
improvements,base,prepared,smoke,2026-09-15T00:55:48.521Z,visible source counts,aborted before three store links,,,,,16471.3,,,"17:55  up  3:27, 14 users, load averages: 31.76 27.34 27.48","17:56  up  3:27, 14 users, load averages: 26.45 26.60 27.21","PID ELAPSED  %CPU
91059   14:14  99.4","PID ELAPSED  %CPU
91059   14:52  82.8"
improvements,base,prepared,linked-smoke,2026-09-15T00:57:00.044Z,visible source counts,completed,1631.2,50,A,,13066.0,8507.6,,"17:57  up  3:28, 14 users, load averages: 38.24 29.04 28.04","17:57  up  3:28, 14 users, load averages: 36.95 29.93 28.42","PID ELAPSED  %CPU
91059   15:26  69.1","PID ELAPSED  %CPU
91059   15:51  74.6"
improvements,base,generic,linked-smoke,2026-09-15T00:58:26.779Z,visible source counts,completed,3471.3,50,A,,23598.5,6969.0,,"17:58  up  3:29, 14 users, load averages: 26.62 28.06 27.81","17:59  up  3:30, 14 users, load averages: 59.66 34.98 30.28","PID ELAPSED  %CPU
91059   16:52 110.5","PID ELAPSED  %CPU
91059   17:27  68.0"
improvements,base,cf-person-inbox-lift,selector-1,2026-09-15T01:00:11.341Z,visible source counts,completed,4809.3,50,A,,11438.6,32.6,,"18:00  up  3:31, 14 users, load averages: 45.89 36.89 31.43","18:00  up  3:31, 14 users, load averages: 39.59 35.94 31.19","PID ELAPSED  %CPU
91059   18:37 110.4","PID ELAPSED  %CPU
91059   18:54 131.6"
improvements,base,header,selector-1,2026-09-15T01:00:28.626Z,visible source counts,completed,1821.8,50,A,,8409.2,18.2,,"18:00  up  3:31, 14 users, load averages: 39.59 35.94 31.19","18:00  up  3:31, 14 users, load averages: 37.62 35.65 31.14","PID ELAPSED  %CPU
91059   18:54 239.4","PID ELAPSED  %CPU
91059   19:05  97.5"
improvements,base,prepared,selector-1,2026-09-15T01:00:39.612Z,visible source counts,completed,1170.8,50,A,,10519.8,59.7,,"18:00  up  3:31, 14 users, load averages: 37.62 35.65 31.14","18:00  up  3:32, 14 users, load averages: 60.10 40.59 32.97","PID ELAPSED  %CPU
91059   19:05 120.5","PID ELAPSED  %CPU
91059   19:17  66.8"
