recordType,valid,arm,pane,rep,at,openMs,bubbles,contentHash,expectedHash,readiness,harness,configCaptureMs,configHash,configProtocol,uptimeBefore,uptimeAfter,error
timing,True,start,header,round2-1,2026-09-15T05:10:30.090Z,1071.800000000745,50,7a44c46874ff5d13af751cde49316199040bbbdf981d2a021f1623faed50853d,7a44c46874ff5d13af751cde49316199040bbbdf981d2a021f1623faed50853d,visible source counts then runtime idle,,,,live config fetch during mount,"22:10  up  7:41, 14 users, load averages: 7.67 13.35 24.95","22:10  up  7:41, 14 users, load averages: 8.60 13.36 24.82",
timing,True,start,cf-person-inbox,round2-1,2026-09-15T05:10:37.535Z,96.09999999776483,50,7a44c46874ff5d13af751cde49316199040bbbdf981d2a021f1623faed50853d,7a44c46874ff5d13af751cde49316199040bbbdf981d2a021f1623faed50853d,visible source counts then runtime idle,,,,live config fetch during mount,"22:10  up  7:41, 14 users, load averages: 8.60 13.36 24.82","22:10  up  7:42, 14 users, load averages: 8.65 13.21 24.64",
timing,True,r2,header,round2-1,2026-09-15T05:10:49.711Z,896.1999999992549,50,7a44c46874ff5d13af751cde49316199040bbbdf981d2a021f1623faed50853d,7a44c46874ff5d13af751cde49316199040bbbdf981d2a021f1623faed50853d,visible source counts then runtime idle,,,,live config fetch during mount,"22:10  up  7:42, 14 users, load averages: 8.65 13.21 24.64","22:10  up  7:42, 14 users, load averages: 8.55 13.04 24.44",
timing,True,r2,cf-person-inbox,round2-1,2026-09-15T05:10:57.545Z,113.40000000223517,50,7a44c46874ff5d13af751cde49316199040bbbdf981d2a021f1623faed50853d,7a44c46874ff5d13af751cde49316199040bbbdf981d2a021f1623faed50853d,visible source counts then runtime idle,,,,live config fetch during mount,"22:10  up  7:42, 14 users, load averages: 8.55 13.04 24.44","22:11  up  7:42, 14 users, load averages: 8.58 12.98 24.35",
timing,True,r2,cf-person-inbox,round2-2,2026-09-15T05:11:01.480Z,114,50,7a44c46874ff5d13af751cde49316199040bbbdf981d2a021f1623faed50853d,7a44c46874ff5d13af751cde49316199040bbbdf981d2a021f1623faed50853d,visible source counts then runtime idle,,,,live config fetch during mount,"22:11  up  7:42, 14 users, load averages: 8.58 12.98 24.35","22:11  up  7:42, 14 users, load averages: 9.10 13.01 24.29",
timing,True,r2,header,round2-2,2026-09-15T05:11:05.965Z,973.5999999977648,50,7a44c46874ff5d13af751cde49316199040bbbdf981d2a021f1623faed50853d,7a44c46874ff5d13af751cde49316199040bbbdf981d2a021f1623faed50853d,visible source counts then runtime idle,,,,live config fetch during mount,"22:11  up  7:42, 14 users, load averages: 9.10 13.01 24.29","22:11  up  7:42, 14 users, load averages: 9.17 12.96 24.21",
timing,True,start,cf-person-inbox,round2-2,2026-09-15T05:11:14.329Z,89.5,50,7a44c46874ff5d13af751cde49316199040bbbdf981d2a021f1623faed50853d,7a44c46874ff5d13af751cde49316199040bbbdf981d2a021f1623faed50853d,visible source counts then runtime idle,,,,live config fetch during mount,"22:11  up  7:42, 14 users, load averages: 9.17 12.96 24.21","22:11  up  7:42, 14 users, load averages: 9.36 12.88 24.05",
timing,True,start,header,round2-2,2026-09-15T05:11:24.007Z,1026.7999999970198,50,7a44c46874ff5d13af751cde49316199040bbbdf981d2a021f1623faed50853d,7a44c46874ff5d13af751cde49316199040bbbdf981d2a021f1623faed50853d,visible source counts then runtime idle,,,,live config fetch during mount,"22:11  up  7:42, 14 users, load averages: 9.36 12.88 24.05","22:11  up  7:42, 14 users, load averages: 9.70 12.83 23.90",
timing,True,start,header,round2-3,2026-09-15T05:11:31.885Z,1013.6000000014901,50,7a44c46874ff5d13af751cde49316199040bbbdf981d2a021f1623faed50853d,7a44c46874ff5d13af751cde49316199040bbbdf981d2a021f1623faed50853d,visible source counts then runtime idle,,,,live config fetch during mount,"22:11  up  7:42, 14 users, load averages: 9.70 12.83 23.90","22:11  up  7:42, 14 users, load averages: 9.33 12.70 23.79",
timing,True,start,cf-person-inbox,round2-3,2026-09-15T05:11:39.769Z,118.69999999925494,50,7a44c46874ff5d13af751cde49316199040bbbdf981d2a021f1623faed50853d,7a44c46874ff5d13af751cde49316199040bbbdf981d2a021f1623faed50853d,visible source counts then runtime idle,,,,live config fetch during mount,"22:11  up  7:42, 14 users, load averages: 9.33 12.70 23.79","22:11  up  7:43, 14 users, load averages: 9.22 12.62 23.70",
timing,True,r2,header,round2-3,2026-09-15T05:11:43.743Z,906.6999999992549,50,7a44c46874ff5d13af751cde49316199040bbbdf981d2a021f1623faed50853d,7a44c46874ff5d13af751cde49316199040bbbdf981d2a021f1623faed50853d,visible source counts then runtime idle,,,,live config fetch during mount,"22:11  up  7:43, 14 users, load averages: 9.22 12.62 23.70","22:11  up  7:43, 14 users, load averages: 9.04 12.53 23.60",
timing,True,r2,cf-person-inbox,round2-3,2026-09-15T05:11:50.520Z,109.60000000149012,50,7a44c46874ff5d13af751cde49316199040bbbdf981d2a021f1623faed50853d,7a44c46874ff5d13af751cde49316199040bbbdf981d2a021f1623faed50853d,visible source counts then runtime idle,,,,live config fetch during mount,"22:11  up  7:43, 14 users, load averages: 9.36 12.54 23.54","22:11  up  7:43, 14 users, load averages: 9.36 12.54 23.54",
diagnostic,True,start,header,journal-count,2026-09-15T05:16:30.827Z,2102.60000000149,50,7a44c46874ff5d13af751cde49316199040bbbdf981d2a021f1623faed50853d,7a44c46874ff5d13af751cde49316199040bbbdf981d2a021f1623faed50853d,visible source counts then runtime idle,,,,live config fetch during mount,"22:16  up  7:47, 14 users, load averages: 6.56 10.81 19.92","22:16  up  7:48, 14 users, load averages: 9.93 11.42 20.04",
diagnostic,True,r2,header,cache-count,2026-09-15T05:17:40.760Z,1189.199999999255,50,7a44c46874ff5d13af751cde49316199040bbbdf981d2a021f1623faed50853d,7a44c46874ff5d13af751cde49316199040bbbdf981d2a021f1623faed50853d,visible source counts then runtime idle,,,,live config fetch during mount,"22:17  up  7:48, 14 users, load averages: 8.64 10.79 19.21","22:17  up  7:49, 14 users, load averages: 8.59 10.74 19.15",
timing,True,r2,header,round3-1,2026-09-15T05:23:12.184Z,1402.699999999255,50,7a44c46874ff5d13af751cde49316199040bbbdf981d2a021f1623faed50853d,7a44c46874ff5d13af751cde49316199040bbbdf981d2a021f1623faed50853d,visible source counts then runtime idle,,,,live config fetch during mount,"22:23  up  7:54, 14 users, load averages: 10.12 11.03 16.79","22:23  up  7:54, 14 users, load averages: 9.56 10.88 16.67",
timing,True,r2,cf-person-inbox,round3-1,2026-09-15T05:23:23.133Z,150.89999999850988,50,7a44c46874ff5d13af751cde49316199040bbbdf981d2a021f1623faed50853d,7a44c46874ff5d13af751cde49316199040bbbdf981d2a021f1623faed50853d,visible source counts then runtime idle,,,,live config fetch during mount,"22:23  up  7:54, 14 users, load averages: 9.56 10.88 16.67","22:23  up  7:54, 14 users, load averages: 8.93 10.71 16.54",
timing,True,r3,header,round3-1,2026-09-15T05:23:35.209Z,1291.5,50,7a44c46874ff5d13af751cde49316199040bbbdf981d2a021f1623faed50853d,7a44c46874ff5d13af751cde49316199040bbbdf981d2a021f1623faed50853d,visible source counts then runtime idle,,,,live config fetch during mount,"22:23  up  7:54, 14 users, load averages: 8.93 10.71 16.54","22:23  up  7:55, 14 users, load averages: 8.42 10.53 16.41",
timing,True,r3,cf-person-inbox,round3-1,2026-09-15T05:23:45.187Z,125,50,7a44c46874ff5d13af751cde49316199040bbbdf981d2a021f1623faed50853d,7a44c46874ff5d13af751cde49316199040bbbdf981d2a021f1623faed50853d,visible source counts then runtime idle,,,,live config fetch during mount,"22:23  up  7:55, 14 users, load averages: 8.42 10.53 16.41","22:23  up  7:55, 14 users, load averages: 13.89 11.65 16.73",
